2023-12-04 20:09:25 INFO  TestUtils:64 - Getting Response Message
2023-12-04 20:09:25 INFO  TestUtils:66 - Response Message for IsSuccess: No
2023-12-04 20:09:25 INFO  TestUtils:34 - Both texts are same
2023-12-04 20:09:25 INFO  URL:19 - URI End Point : https://jnswdazms1.execute-api.us-east-1.amazonaws.com/dev/cognito-create-user
2023-12-04 20:09:26 INFO  TestUtils:27 - Env Name: stage
2023-12-04 20:09:26 INFO  Base:136 - Inside POSTRequest call
2023-12-04 20:09:26 INFO  TestUtils:64 - Getting Response Message
2023-12-04 20:09:26 INFO  TestUtils:66 - Response Message for statusCode: 400
2023-12-04 20:09:26 INFO  TestUtils:34 - Both texts are same
2023-12-04 20:09:26 INFO  TestUtils:64 - Getting Response Message
2023-12-04 20:09:26 INFO  TestUtils:66 - Response Message for IsSuccess: No
2023-12-04 20:09:26 INFO  TestUtils:34 - Both texts are same
2023-12-04 20:09:26 INFO  TestUtils:64 - Getting Response Message
2023-12-04 20:09:26 INFO  TestUtils:66 - Response Message for message: Password did not conform with password policy: Password must have symbol characters
2023-12-04 20:09:26 INFO  TestUtils:34 - Both texts are same
